frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
0,0.000,,,,,,,,,,,,
1,0.040,2.549167,7.217610,3.779482,14.736320,3.224107,3.779482,14.736320,3.187996,0.022447,15.117927,,1.408042
2,0.080,1.853886,6.012163,3.092544,10.559434,2.975893,3.092544,10.559434,2.755949,0.049442,12.370174,1.040569,0.963289
3,0.120,1.186360,5.255685,2.699365,6.718396,1.853571,2.699365,6.718396,2.327605,0.069146,10.797462,1.061999,0.708729
4,0.160,0.853291,5.823638,1.783448,6.632547,1.479464,1.783448,6.632547,2.182972,0.059918,7.133791,0.790785,0.115725
5,0.200,1.145718,6.079323,2.070069,8.458019,1.678571,2.070069,8.458019,1.977525,0.066568,8.280275,0.995106,0.301295
6,0.240,2.044806,6.291380,3.083554,9.195283,1.644643,3.083554,9.195283,2.624008,0.076962,12.334215,1.340229,0.957469
7,0.280,2.337629,5.217081,3.035960,5.283962,0.933036,3.035960,5.283962,3.160233,0.086552,12.143839,1.049735,0.926654
8,0.320,1.823553,3.355632,2.213115,2.357075,0.492411,2.213115,3.355632,2.402359,0.069573,8.852459,0.795714,0.393909
9,0.360,1.028350,1.456637,1.032522,0.771226,0.341071,1.028350,1.456637,1.460867,0.018243,4.113402,0.532379,-0.373157
10,0.400,0.354679,1.995769,1.299048,2.441038,0.367411,1.299048,2.441038,0.566614,0.015993,5.196192,1.281440,-0.197896
11,0.440,0.112807,4.570862,2.459810,5.431132,0.878571,2.459810,5.431132,1.582496,0.009557,9.839238,2.289143,0.553630
12,0.480,0.151467,4.662612,2.780275,5.200472,0.965625,2.780275,5.200472,3.099418,0.020427,11.121099,1.187666,0.761113
13,0.520,0.066019,3.492332,1.280539,10.338207,1.257589,1.280539,10.338207,1.962454,0.016043,5.122158,0.505955,-0.209880
14,0.560,0.084655,3.407985,1.315177,12.996698,1.548661,1.548661,12.996698,1.220518,0.014499,6.194643,0.973091,-0.036286
15,0.600,0.132831,2.307245,0.863300,9.477359,1.159375,1.159375,9.477359,1.437054,0.009310,4.637500,0.872507,-0.288327
16,0.640,0.177835,1.506610,0.564516,4.077359,0.531250,0.564516,4.077359,0.909572,0.011691,2.258065,0.481130,-0.673464
17,0.680,0.291634,1.023268,0.813326,2.289151,0.524107,0.813326,2.289151,0.764410,0.014023,3.253305,0.971726,-0.512373
18,0.720,0.685964,1.956637,1.334479,4.413208,1.026786,1.334479,4.413208,1.152036,0.012151,5.337916,1.392660,-0.174957
19,0.760,0.978985,2.845584,2.035960,6.321227,1.252679,2.035960,6.321227,1.673189,0.025107,8.143839,1.441273,0.279212
20,0.800,0.741673,2.793760,1.612374,7.876415,1.356250,1.612374,7.876415,1.881015,0.015123,6.449498,0.907305,0.004965
21,0.840,0.374703,1.914067,1.121100,3.732547,1.095536,1.121100,3.732547,1.627710,0.029754,4.484400,0.639035,-0.313108
22,0.880,0.093973,0.643046,0.316235,1.354245,0.201786,0.316235,1.354245,0.398995,0.012003,1.264939,0.312068,-0.834212
23,0.920,0.389374,0.894500,0.526705,0.691509,0.156696,0.526705,0.894500,0.330513,0.004647,2.106822,1.053411,-0.697944
24,0.960,0.885408,1.749339,1.181650,0.877830,0.170982,0.885408,1.749339,0.808567,0.016207,3.541634,1.554603,-0.465704
25,1.000,1.062252,2.254627,1.535960,1.091981,0.316518,1.091981,2.254627,1.656795,0.016568,4.367925,0.885859,-0.331960
26,1.040,1.000198,2.657853,1.744844,2.305660,0.483929,1.744844,2.657853,1.627975,0.005846,6.979376,1.062384,0.090731
27,1.080,1.102498,2.725806,1.689318,4.346698,0.804464,1.689318,4.346698,2.024855,0.003760,6.757271,0.924937,0.054781
28,1.120,0.910190,2.557377,1.457165,6.844340,1.113839,1.457165,6.844340,2.027499,0.001658,5.828662,0.719170,-0.095524
29,1.160,0.467486,1.752512,0.957959,7.524056,1.326786,1.326786,7.524056,1.758858,0.005287,5.307143,0.700824,-0.179938
30,1.200,0.303727,1.014014,0.781068,5.580189,1.107589,1.014014,5.580189,1.480357,0.002857,4.056055,0.626086,-0.382440
31,1.240,0.091396,0.521153,0.242729,1.375472,0.208036,0.242729,1.375472,0.246875,0.006782,0.970915,0.281061,-0.881802
32,1.280,0.038462,0.277366,0.322581,1.908491,0.382143,0.322581,1.908491,0.211161,0.010509,1.290323,0.645161,-0.830103
33,1.320,0.043814,0.267319,0.141988,1.698113,0.327232,0.267319,1.698113,0.303125,0.006502,1.069275,0.534638,-0.865882
34,1.360,0.034695,0.327076,0.444738,2.269811,0.503125,0.444738,2.269811,0.484929,0.009852,1.778953,0.889476,-0.751013
35,1.400,0.307891,1.064781,0.843998,2.281132,0.412500,0.843998,2.281132,0.772768,0.020427,3.375992,1.342133,-0.492515
36,1.440,1.146114,2.484664,1.685616,1.811792,0.348214,1.685616,2.484664,1.095452,0.010460,6.742465,1.804516,0.052384
37,1.480,1.775971,3.340032,2.668165,1.080660,0.232143,1.775971,3.340032,2.175472,0.010887,7.103886,1.085914,0.110884
38,1.520,2.232950,5.035431,3.628239,2.486321,0.329018,2.486321,5.035431,2.012264,0.015140,9.945283,1.187430,0.570795
39,1.560,3.141158,8.027498,4.590428,5.608962,0.660268,4.590428,8.027498,2.831042,0.049951,18.361713,1.895576,1.933084
40,1.600,3.219667,8.837388,4.425701,8.434434,1.059375,4.425701,8.837388,3.422263,0.042808,17.702803,1.415476,1.826432
