frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
0,0.000,,,,,,,,,,,,
1,0.040,0.592387,1.205711,2.951877,2.647641,2.929911,2.647641,2.951877,2.833019,0.273727,9.672547,,0.495743
2,0.080,0.693497,1.158911,2.283448,1.274057,1.860268,1.274057,2.283448,0.962530,0.450591,2.827523,0.671343,-0.529315
3,0.120,0.706979,2.230566,3.450291,2.597641,3.154464,2.597641,3.450291,1.566896,0.504023,5.153815,2.053938,0.458430
4,0.160,0.655829,1.101798,3.682443,1.734434,2.739732,1.734434,3.682443,1.903302,0.519179,3.340725,0.999617,-0.185751
5,0.200,1.310666,0.967478,3.309360,1.382075,6.458482,1.382075,6.458482,1.564433,1.736305,0.795986,0.797106,-0.448704
6,0.240,1.531126,1.653887,5.014278,3.721226,9.071428,3.721226,9.071428,2.081879,1.747603,2.129332,2.041090,1.296922
7,0.280,2.575734,2.454257,6.560286,3.763207,8.713393,3.763207,8.713393,3.545283,2.229458,1.687947,1.337515,1.328251
8,0.320,3.689730,3.840032,7.765203,4.311792,8.882143,4.311792,8.882143,3.536083,2.025041,2.129237,1.217786,1.737641
9,0.360,5.238303,4.479905,10.675569,4.102830,8.551785,5.238303,10.675569,4.876091,1.397833,3.747447,1.245410,2.429063
10,0.400,12.566813,9.477525,16.737440,8.264623,12.762946,12.566813,16.737440,5.718081,1.432939,8.769956,2.372401,7.898073
11,0.440,13.574346,9.076943,17.436806,7.779245,13.310715,13.310715,17.436806,12.276340,1.544844,8.616220,1.479427,8.453220
12,0.480,8.995242,4.377049,7.220254,2.265566,7.367857,7.220254,8.995242,6.553940,0.399672,18.065468,0.766877,3.908123
13,0.520,7.040246,2.672131,5.163670,1.807547,5.348214,5.163670,7.040246,5.185714,0.224926,20.654680,0.879697,2.373367
14,0.560,6.211737,2.233210,4.690111,1.455660,2.420536,2.420536,6.211737,2.432311,0.449327,5.387028,0.635476,0.326262
15,0.600,9.952221,5.494976,9.139344,4.608962,5.365625,5.494976,9.952221,3.398731,0.708062,7.760581,1.884732,2.620609
16,0.640,8.223632,5.448704,8.554997,4.972170,6.138839,6.138839,8.554997,6.416711,0.860361,7.135188,1.250853,3.101102
17,0.680,4.050159,2.024590,2.837652,2.150472,4.163839,2.837652,4.163839,3.104178,0.197061,11.350608,0.596090,0.637541
18,0.720,3.678033,2.315706,3.398995,1.445283,3.305357,3.305357,3.678033,3.483929,0.206519,13.221429,1.003432,0.986573
19,0.760,3.403053,2.373083,3.828398,1.283019,3.368304,3.368304,3.828398,3.350344,0.542726,6.206271,0.985709,1.033548
20,0.800,4.411380,3.459016,6.198572,4.045755,6.078571,4.411380,6.198572,3.863393,1.003990,4.393847,1.223050,1.811959
21,0.840,4.839215,3.693813,6.601269,3.643868,5.648661,4.839215,6.601269,5.958929,1.170460,4.134457,0.985351,2.131238
22,0.880,1.164750,0.989159,2.780804,1.504717,2.394643,1.504717,2.780804,2.403302,0.493087,3.051626,0.359884,-0.357181
23,0.920,1.679818,1.618456,2.988630,1.216509,2.933036,1.679818,2.988630,2.006741,0.525517,3.196503,0.761815,-0.226510
24,0.960,1.720262,1.601269,2.689318,0.896226,2.209821,1.720262,2.689318,2.784695,0.742529,2.316761,0.718057,-0.196328
25,1.000,4.621531,4.629297,8.264146,2.780189,4.683482,4.629297,8.264146,2.908604,1.412397,3.277616,1.626226,1.974583
26,1.040,4.785884,4.276573,8.219460,3.300000,4.713393,4.713393,8.219460,6.493918,1.433268,3.288564,1.002580,2.037341
27,1.080,4.293418,4.046801,7.715495,2.235849,4.483929,4.293418,7.715495,4.018438,0.436026,9.846696,0.816833,1.723928
28,1.120,4.754362,4.571126,8.079323,2.436321,4.692411,4.692411,8.079323,5.465625,0.310985,15.088855,0.989536,2.021683
29,1.160,3.858644,3.376785,5.632205,1.757547,3.581250,3.581250,5.632205,4.861161,0.180016,14.325000,0.693585,1.192463
