frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
0,0.000,,,,,,,,,,,,
1,0.040,2.421293,6.032258,3.395029,5.959434,1.591964,3.395029,6.032258,3.177155,0.050920,13.580116,,1.722165
2,0.080,1.774782,4.294817,2.566367,5.288208,1.543304,2.566367,5.288208,2.566103,0.057438,10.265468,0.893697,0.976274
3,0.120,1.038660,2.732152,1.104442,4.244812,0.986161,1.104442,4.244812,1.479376,0.074516,4.417768,0.546013,-0.339625
4,0.160,0.830888,2.864357,1.441830,3.416509,1.134375,1.441830,3.416509,0.926230,0.064762,5.767319,1.198725,-0.035938
5,0.200,1.104481,3.207562,1.991010,4.749528,1.433036,1.991010,4.749528,1.409572,0.072020,7.964040,1.704777,0.458387
6,0.240,1.938739,4.879429,3.109201,6.939623,1.550000,3.109201,6.939623,1.753569,0.077126,12.436806,1.965895,1.464887
7,0.280,2.266059,4.579059,3.145955,5.571698,0.922321,3.145955,5.571698,2.983342,0.086338,12.583818,1.328272,1.497969
8,0.320,1.676844,3.026970,2.049973,1.999528,0.362946,1.999528,3.026970,2.070333,0.069278,7.998113,0.791316,0.466054
9,0.360,0.996035,1.613961,1.189847,1.339151,0.399107,1.189847,1.613961,1.429931,0.026946,4.759387,0.679861,-0.262752
10,0.400,0.403053,1.305130,0.456108,1.798585,0.320982,0.456108,1.798585,0.681650,0.011396,1.824432,0.432006,-0.923200
11,0.440,0.127875,1.832364,0.601269,3.414623,0.546429,0.601269,3.414623,0.287054,0.013005,2.405077,1.202538,-0.792539
12,0.480,0.172086,1.862771,0.324432,3.588679,0.666071,0.666071,3.588679,0.572768,0.024729,2.664286,1.332143,-0.734209
13,0.520,0.160983,1.162877,0.691169,2.636792,1.149107,1.149107,2.636792,0.590957,0.037619,4.596428,1.974877,-0.299422
14,0.560,0.168914,1.539397,1.019038,4.370755,1.913393,1.539397,4.370755,1.380357,0.024992,6.157588,1.561798,0.051884
15,0.600,0.181800,1.603384,1.716817,5.880188,2.505804,1.716817,5.880188,1.328926,0.013596,6.867266,1.267358,0.211582
16,0.640,0.180214,1.375463,0.728186,3.709434,1.564286,1.375463,3.709434,1.154911,0.016683,5.501851,1.107531,-0.095676
17,0.680,0.294806,1.452142,0.947911,4.007547,1.587946,1.452142,4.007547,1.672321,0.027570,5.808567,1.027253,-0.026656
18,0.720,0.701626,1.943945,1.415124,3.474057,0.931696,1.415124,3.474057,1.079464,0.013678,5.660497,1.028513,-0.059976
19,0.760,0.877875,2.180063,1.774458,3.057547,0.822321,1.774458,3.057547,1.642782,0.023662,7.097832,1.303672,0.263465
20,0.800,0.633624,1.703332,1.080116,1.912736,0.664286,1.080116,1.912736,1.556584,0.020246,4.320466,0.675207,-0.361521
21,0.840,0.362807,1.595981,1.471708,1.479717,0.470089,1.471708,1.595981,1.085933,0.044959,5.886832,1.113868,-0.009044
22,0.880,0.138580,1.375727,0.815706,3.760849,0.623661,0.815706,3.760849,1.160761,0.013399,3.262824,0.726139,-0.599521
23,0.920,0.389572,1.793231,0.749075,2.437264,0.504018,0.749075,2.437264,0.780275,0.003300,2.996298,0.771829,-0.659497
24,0.960,0.868160,2.420677,1.280539,2.116509,0.726786,1.280539,2.420677,1.139609,0.025074,5.122158,1.333976,-0.181118
25,1.000,1.008327,2.570333,1.937070,1.529717,0.663839,1.529717,2.570333,2.122158,0.024236,6.118868,0.937968,0.043171
26,1.040,0.917922,2.553940,2.266526,1.328774,0.489732,1.328774,2.553940,1.983871,0.004696,5.315094,0.647231,-0.137701
27,1.080,1.008327,2.118456,2.327076,1.523585,1.375446,1.523585,2.327076,1.108019,0.008227,6.094340,0.985536,0.037651
28,1.120,0.885012,1.823638,1.984664,2.746226,1.350000,1.823638,2.746226,1.600472,0.008046,7.294553,1.346609,0.307733
29,1.160,0.465702,1.708884,1.411422,4.460377,1.288393,1.411422,4.460377,1.952142,0.008998,5.645690,0.794583,-0.063308
30,1.200,0.357454,1.497885,0.993390,5.887264,1.492411,1.492411,5.887264,1.505357,0.002742,5.969643,0.863289,0.009591
31,1.240,0.084259,0.907721,0.558435,4.486793,0.776339,0.776339,4.486793,0.826786,0.002135,3.105357,0.665773,-0.634955
32,1.280,0.051546,0.667901,0.513220,4.883962,0.632589,0.632589,4.883962,0.525648,0.010969,2.530357,0.935483,-0.764347
33,1.320,0.090206,1.007668,0.411423,6.037264,0.596875,0.596875,6.037264,0.538839,0.027947,2.387500,1.121432,-0.796494
34,1.360,0.071768,0.948176,1.083554,6.178773,0.908929,0.948176,6.178773,0.469328,0.027947,3.792702,1.880988,-0.480283
35,1.400,0.337827,2.017451,1.384982,9.583019,1.712500,1.712500,9.583019,1.172924,0.015961,6.850000,2.085550,0.207696
36,1.440,1.108446,3.370439,2.391327,8.729717,2.053125,2.391327,8.729717,1.791380,0.013103,9.565310,1.613415,0.818718
37,1.480,1.648493,4.476732,3.404284,9.219811,1.961161,3.404284,9.219811,2.659968,0.013629,13.617134,1.529552,1.730495
38,1.520,2.207177,5.310946,4.378371,5.158491,1.420536,4.378371,5.310946,3.150978,0.017504,17.513485,1.506939,2.607285
39,1.560,3.053331,7.960074,5.141459,5.109906,1.574107,5.109906,7.960074,2.933962,0.036880,20.439623,1.679525,3.265750
40,1.600,3.132435,8.979640,4.872554,6.132547,1.861161,4.872554,8.979640,4.187202,0.049622,19.490217,1.368471,3.052106
41,1.640,2.570579,8.101269,4.551825,7.033491,1.866071,4.551825,8.101269,2.908778,0.039507,18.207298,1.282930,2.763413
42,1.680,1.698454,6.363035,3.773665,6.586792,1.585268,3.773665,6.586792,3.425436,0.070542,15.094659,1.191518,2.062980
43,1.720,0.833069,3.419884,2.391327,4.495755,2.204018,2.391327,4.495755,2.283184,0.028424,9.565310,0.837795,0.818718
44,1.760,0.601903,3.507932,1.795346,4.277359,2.219643,2.219643,4.277359,2.412946,0.030361,8.878572,0.945307,0.664183
45,1.800,0.857653,3.054733,2.109995,3.176887,1.404911,2.109995,3.176887,1.680592,0.073530,8.439979,1.030890,0.565487
46,1.840,2.455393,7.276044,4.752776,8.065566,2.395982,4.752776,8.065566,2.372819,0.104795,19.011105,2.345075,2.944292
47,1.880,4.509120,12.272872,7.654680,12.534905,4.102679,7.654680,12.534905,5.118720,0.154910,30.618721,2.043553,5.556338
48,1.920,4.724029,12.384717,8.250925,11.266038,2.992411,8.250925,12.384717,6.382338,0.124795,33.003700,1.434812,6.093026
49,1.960,3.666138,10.503702,7.709148,7.454245,1.928125,7.454245,10.503702,5.667636,0.079376,29.816980,1.237222,5.375923
50,2.000,2.134615,7.222898,5.297197,8.838207,2.467857,5.297197,8.838207,5.750661,0.036946,21.188789,0.927844,3.434334
51,2.040,0.825734,3.143839,1.888683,3.758962,1.795089,1.888683,3.758962,1.875000,0.036470,7.554733,0.495349,0.366281
52,2.080,0.555313,2.144368,1.677155,2.441509,1.024107,1.677155,2.441509,1.675833,0.022282,6.708620,0.944654,0.175882
53,2.120,0.608049,2.085140,1.379693,1.206132,0.470982,1.206132,2.085140,1.889476,0.021658,4.824528,0.676593,-0.248093
54,2.160,0.794211,2.864357,2.108408,4.603774,1.712054,2.108408,4.603774,1.494712,0.010739,8.433633,1.246035,0.564059
55,2.200,0.655630,3.163141,2.562136,6.174528,2.590178,2.590178,6.174528,2.294024,0.004811,10.360714,1.367305,0.997707
56,2.240,0.299960,1.544950,1.119514,6.229717,2.367857,1.544950,6.229717,1.858805,0.013678,6.179799,0.744047,0.056882
57,2.280,0.117764,0.829984,0.732681,2.879245,2.092857,0.829984,2.879245,0.980698,0.016486,3.319937,0.584598,-0.586669
58,2.320,0.158208,0.895029,0.865944,3.647170,1.312946,0.895029,3.647170,0.970650,0.011232,3.580116,0.917344,-0.528121
59,2.360,0.136201,0.825489,0.789001,4.745755,1.617857,0.825489,4.745755,0.517980,0.017537,3.301957,1.109059,-0.590715
60,2.400,0.109635,0.909572,0.819408,4.922641,1.582143,0.909572,4.922641,0.859334,0.010739,3.638287,1.320791,-0.515031
61,2.440,0.283307,1.486779,0.630619,3.662736,1.162500,1.162500,3.662736,0.955579,0.008112,4.650000,1.281053,-0.287367
62,2.480,0.565424,2.421999,1.236647,3.867924,1.575893,1.575893,3.867924,0.966420,0.003333,6.303571,1.639848,0.084734
