frame,time_s,forehead_curvature_px,left_cheek_curvature_px,right_cheek_curvature_px,left_chin_curvature_px,right_chin_curvature_px,rigid_curvature_px,local_peak_curvature_px,rigid_velocity_px,hood_curvature_px,face_to_hood_curvature_ratio,curvature_velocity_ratio,robust_z
0,0.000,,,,,,,,,,,,
1,0.040,2.421094,6.012163,3.732152,5.628302,2.286161,3.732152,6.012163,3.259651,0.050936,14.928609,,2.100020
2,0.080,1.773989,4.211792,2.918297,4.424057,2.066518,2.918297,4.424057,2.811740,0.056798,11.673189,0.961327,1.349107
3,0.120,1.035289,2.671338,1.575621,3.760377,1.331250,1.575621,3.760377,1.584611,0.080476,6.302485,0.716786,0.110271
4,0.160,0.831681,2.965891,1.549709,2.837264,1.805357,1.805357,2.965891,0.933897,0.075041,7.221428,1.433672,0.322239
5,0.200,1.097343,3.189582,2.162612,2.957547,1.487946,2.162612,3.189582,1.737969,0.077586,8.650450,1.618803,0.651865
6,0.240,1.945480,4.860656,3.186938,4.258019,1.572768,3.186938,4.860656,2.006875,0.083366,12.747752,1.702041,1.596972
7,0.280,2.252776,5.426758,3.291380,4.485377,1.117857,3.291380,5.426758,3.145955,0.093268,13.165521,1.277504,1.693336
8,0.320,1.679619,4.020888,1.923850,3.746226,0.740179,1.923850,4.020888,2.203067,0.068637,7.695399,0.719328,0.431568
9,0.360,0.991673,3.492068,1.450026,5.433491,1.446875,1.450026,5.433491,1.391592,0.028079,5.800106,0.806767,-0.005611
10,0.400,0.403053,2.677948,1.178741,6.233490,1.884375,1.884375,6.233490,1.214286,0.014269,7.537500,1.446250,0.395146
11,0.440,0.130056,2.226071,0.804072,5.130661,1.389732,1.389732,5.130661,1.722768,0.017110,5.558928,0.946344,-0.061242
12,0.480,0.164948,1.841883,0.585933,4.813679,0.655357,0.655357,4.813679,0.505553,0.026092,2.621428,0.588207,-0.738822
13,0.520,0.159001,1.933369,0.610524,5.379717,1.056250,1.056250,5.379717,1.049974,0.026929,4.225000,1.358061,-0.368934
14,0.560,0.176051,1.878900,0.703332,6.016981,1.104464,1.104464,6.016981,1.088839,0.024220,4.417857,1.032782,-0.324448
15,0.600,0.183783,1.597039,0.741142,5.057547,0.957589,0.957589,5.057547,0.829984,0.013120,3.830357,0.998100,-0.459964
16,0.640,0.177240,1.047065,0.478054,2.477830,0.772321,0.772321,2.477830,0.805394,0.016650,3.089286,0.944517,-0.630904
17,0.680,0.294806,0.955843,0.725542,1.599528,0.374554,0.725542,1.599528,0.616076,0.030739,2.902168,1.020833,-0.674065
18,0.720,0.680611,1.585405,1.268376,3.221226,0.895536,1.268376,3.221226,0.970650,0.015025,5.073506,1.598733,-0.173213
19,0.760,0.869945,2.482020,1.539926,4.050943,1.256696,1.539926,4.050943,1.552882,0.025189,6.159704,1.220453,0.077336
20,0.800,0.636994,2.542835,1.296668,3.895755,1.027232,1.296668,3.895755,1.695664,0.023399,5.186674,0.798307,-0.147109
21,0.840,0.371729,2.690111,1.130883,5.459906,0.947768,1.130883,5.459906,1.205711,0.039606,4.523532,0.779550,-0.300073
22,0.880,0.132633,1.242993,0.654151,2.514151,0.804464,0.804464,2.514151,0.962946,0.017553,3.217857,0.741901,-0.601247
23,0.920,0.387787,2.136700,0.738234,2.818868,1.124107,1.124107,2.818868,0.283977,0.004319,4.496428,1.803009,-0.306325
24,0.960,0.861816,3.168165,1.663934,4.666510,1.520982,1.663934,4.666510,0.923214,0.026371,6.655738,2.756705,0.191754
25,1.000,1.012094,3.685087,1.895822,5.463208,1.616964,1.895822,5.463208,2.538075,0.034499,7.583289,1.095443,0.405708
26,1.040,0.938739,2.968271,1.904548,6.400943,1.885268,1.904548,6.400943,2.177419,0.007849,7.618191,0.807783,0.413759
27,1.080,1.015067,2.303807,2.141195,6.180189,1.779018,2.141195,6.180189,2.276573,0.008637,8.564780,0.961472,0.632104
28,1.120,0.862411,1.956637,1.532522,3.555660,0.791071,1.532522,3.555660,1.810682,0.009819,6.130090,0.749903,0.070505
29,1.160,0.482950,1.442358,1.118191,6.866038,1.515625,1.442358,6.866038,1.503702,0.010887,5.769434,0.870363,-0.012686
30,1.200,0.355868,0.905605,0.687996,7.215095,1.491518,0.905605,7.215095,1.295611,0.008522,3.622422,0.647020,-0.507928
31,1.240,0.091197,0.499471,0.294289,5.547170,0.860714,0.499471,5.547170,0.701481,0.004910,1.997885,0.500199,-0.882652
32,1.280,0.049564,0.448440,0.336594,6.496226,0.996875,0.448440,6.496226,0.199630,0.010952,1.793760,0.896880,-0.929737
33,1.320,0.088818,0.513749,0.264675,3.226415,0.660268,0.513749,3.226415,0.387500,0.022348,2.054997,1.027499,-0.869479
34,1.360,0.071570,0.487308,0.434162,5.883962,1.185714,0.487308,5.883962,0.478847,0.021823,1.949233,0.974617,-0.893875
35,1.400,0.309080,1.443681,0.998149,9.750000,1.931696,1.443681,9.750000,0.664992,0.004072,5.774723,2.524272,-0.011466
36,1.440,1.104282,3.198572,2.034902,10.320755,2.105357,2.105357,10.320755,1.794289,0.012529,8.421429,1.712173,0.599038
37,1.480,1.640761,3.759915,3.162612,5.984906,1.579018,3.162612,5.984906,2.773136,0.011593,12.650450,1.384856,1.574527
38,1.520,2.224623,4.939186,3.909307,4.114151,1.280357,3.909307,4.939186,2.707298,0.012053,15.637229,1.426642,2.263474
39,1.560,3.087232,7.461925,4.845849,4.999057,1.322321,4.845849,7.461925,2.962454,0.049540,19.383394,1.709369,3.127585
40,1.600,3.200436,7.919619,4.528821,3.864151,1.439732,3.864151,7.919619,3.540455,0.048342,15.456604,1.188438,2.221810
41,1.640,2.569588,7.657588,5.147012,6.274529,1.600000,5.147012,7.657588,3.024326,0.040887,20.588049,1.568068,3.405458
42,1.680,1.728192,6.651243,4.592015,5.555660,1.682589,4.592015,6.651243,4.293231,0.086814,18.368059,1.255068,2.893383
43,1.720,0.852498,3.682972,2.403755,3.658019,1.469196,2.403755,3.682972,2.438392,0.029310,9.615019,0.714168,0.874358
44,1.760,0.567803,3.593337,1.957165,3.519811,1.772768,1.957165,3.593337,1.857589,0.042397,7.828662,0.911161,0.462307
45,1.800,0.892942,2.589371,1.845056,1.875472,0.995536,1.845056,2.589371,1.198308,0.068916,7.380222,1.207538,0.358867
46,1.840,2.399881,6.359598,4.363564,7.019340,2.412054,4.363564,7.019340,1.555660,0.102463,17.454256,3.168928,2.682600
47,1.880,4.523592,11.337652,6.950027,12.109434,3.750893,6.950027,12.109434,4.809889,0.127865,27.800106,2.183638,5.069031
48,1.920,4.715305,11.985987,7.320994,11.301887,2.596429,7.320994,11.985987,5.527499,0.112742,29.283978,1.416411,5.411309
49,1.960,3.603489,10.478582,7.147541,7.781132,1.668304,7.147541,10.478582,5.104706,0.080870,28.590164,1.344508,5.251270
50,2.000,2.084853,7.100476,4.734797,6.821227,1.093304,4.734797,7.100476,5.448969,0.041576,18.939186,0.897279,3.025122
51,2.040,0.852895,2.591222,1.709413,3.489151,0.926339,1.709413,3.489151,1.895029,0.030361,6.837652,0.465527,0.233715
52,2.080,0.567407,2.019831,1.580116,2.357075,0.895536,1.580116,2.357075,1.882073,0.015484,6.320466,0.836682,0.114418
53,2.120,0.582672,1.865944,1.155473,2.160377,0.662946,1.155473,2.160377,0.850472,0.016782,4.621893,0.845712,-0.277384
54,2.160,0.788065,2.408514,1.759915,3.094811,1.120982,1.759915,3.094811,1.142253,0.014089,7.039661,1.766341,0.280312
55,2.200,0.674663,2.504230,2.064252,1.710377,0.578571,1.710377,2.504230,2.200687,0.005107,6.841509,1.023277,0.234605
56,2.240,0.303925,1.167107,0.767054,2.882547,0.684375,0.767054,2.882547,0.864622,0.006519,3.068218,0.500474,-0.635763
57,2.280,0.131047,1.404812,0.609730,2.876415,0.599554,0.609730,2.876415,1.205976,0.015599,2.438921,0.588941,-0.780921
58,2.320,0.145123,1.713115,0.867002,3.224057,0.614286,0.867002,3.224057,0.960603,0.017225,3.468006,0.800342,-0.543546
59,2.360,0.114988,1.155473,0.809889,3.183962,0.997768,0.997768,3.183962,0.853571,0.009836,3.991071,1.099969,-0.422893
60,2.400,0.101308,0.631941,0.595717,2.327830,0.787500,0.631941,2.327830,0.542306,0.006765,2.527763,0.905439,-0.760428
61,2.440,0.292823,0.891327,0.491010,0.764151,0.312946,0.491010,0.891327,0.567689,0.011445,1.964040,0.884707,-0.890459
62,2.480,0.547383,1.852723,1.193548,2.744340,1.435268,1.435268,2.744340,0.821259,0.004631,5.741071,2.066698,-0.019228
63,2.520,1.374901,4.171867,3.663406,2.400000,1.006696,2.400000,4.171867,1.600740,0.000837,9.600000,1.981834,0.870894
64,2.560,2.532117,6.301163,5.389212,3.889151,1.379018,3.889151,6.301163,2.511792,0.007553,15.556603,1.891365,2.244877
65,2.600,2.992665,7.310946,5.031729,3.396698,1.523661,3.396698,7.310946,3.043396,0.009901,13.586792,1.222892,1.790509
66,2.640,2.227994,5.862242,4.508461,3.730189,1.462500,3.730189,5.862242,4.580910,0.006634,14.920754,0.978499,2.098208
67,2.680,1.329302,2.773136,2.501586,2.830660,0.931250,2.501586,2.830660,2.259915,0.015961,10.006346,0.731370,0.964624
68,2.720,1.825932,5.704654,3.658382,6.309434,1.566518,3.658382,6.309434,1.033929,0.013054,14.633527,2.221345,2.031955
