start	end	text
0	1380	Welcome to Arcane OS.
2000	5880	Arcane stands for Adaptive Runtime for Cognitive AI Native Environments.
6220	10740	It is an AI Native operating environment designed around what a person is trying to accomplish,
11140	14280	not around finding the right app, file, or sequence of menus.
14820	19760	Under Arcane, Intent, Context, Memory, Policy, and Capabilities work together.
20060	21080	You express a goal.
21720	26080	Arcane helps assemble the approved tools and information needed to move that goal forward,
26080	30900	while keeping important actions visible and governed by the permissions of the person and the device.
31480	33980	Arcane is not a chatbot pasted onto a desktop.
34360	38320	It is the environment through which people and intelligent systems work with the computer.
38820	43640	The familiar shell, settings, documents, and specialized applications remain available,
43860	47140	but they are connected through a shared runtime and capability boundary.
47680	51960	Today, Arcane runs above both Microsoft NT and the Linux kernel.
51960	57460	That makes it adaptable to the controls of a regulated workplace and to the needs of a personal device.
57720	62580	The underlying platform supplies drivers, identity, processes, and hardware access.
63220	67040	Arcane supplies the consistent experience and governed collaboration layer.
67560	69540	Android support is currently under development.
69880	75780	The result is one environment that can serve engineers, operators, families, security teams,
75940	80760	and mission-focused organizations without asking every user to become a systems expert.
81360	83020	Arcane asks a different question.
83340	85820	How should humans and intelligent systems work together?
86200	90600	Explore the shell, open an application, and begin with the outcome you want to achieve.
90960	92220	Welcome to Arcane.
92220	92220	
92220	92220	
92220	92220	
92220	92220	
92220	92280	I promise youР unad Difficult is about the tribesmen.
92320	92340	I hope you are continually using manual changes to refine the method for making a basis.
92340	92340	
92340	92340	
92340	92340	
92340	92420	Thank you.
